OrganisationLabel,OrganisationURI,EffectiveDate,TrafficRegulationOrderType,Location,SideOfRoad,ParkingSpaces,FreeParking,ParkingStartPoint,ParkingEndPoint
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mitford street, Stretford",south,7,TRUE,from a point 3 metres east of its junction with Thomas Gibbon Close,to a point 5 metres west of its junction with Bennett Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mitford street, Stretford",south,2,TRUE,from a point 15 metres east of its junction with Bennett Street,to a point 26 metres east of its junction with Bennett Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mitford street, Stretford",south,4,TRUE,from a point 47 metres east of its junction with Bennett Street,to a point 69 metres east of its junction with Bennett Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mitford street, Stretford",south,5,TRUE,from its westerly cul-de-sac end,to a point 28 metres east of its westerly cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mitford street, Stretford",north,1,TRUE,from a point 8 metres east of its westerly cul-de-sac end,to its westerly cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Mitford street, Stretford",south,5,TRUE,a point 73 metres east of its junction with Bennett Street,a point 90 metres east of its junction with Bennett Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Moor nook, Sale",south,1,TRUE,from a point 30 metres east of its junction with Derbyshire Road South,to a point 41 metres east of its junction with Derbyshire Road South
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moorside road, Urmston",north,11,TRUE,from a point 15 metres east of its junction with Woodsend Circle,to a point 50 metres west of its junction with Goldsworthy Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moorside road, Urmston",north,8,TRUE,A point 165 meters west of its junction with Bowers Avenue,A point 119 meters west of its junction with Bowers Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moorside road, Urmston",south,13,TRUE,a point 12 metres east of its junction with Moor Lane,a point 82 metres east of its junction with Moor Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moorside road, Urmston",south,3,TRUE,a point 118 metres west of its junction with Malvern Avenue,a point 91 metres west of its junction with Malvern Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moss lane, Altrincham",north-east,7,TRUE,from a point 8 metres south-east of its junction with Urban Avenue,to a point 46 metres south-east of its junction with Urban Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moss lane, Altrincham",south,7,TRUE,a point 57 metres west of its junction with Mayors Road,a point 10 metres west of its junction with Mayors Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moss lane, Altrincham",south,36,TRUE,a point 60 metres east of its junction with Manor Road,a point 62 metres northwest of its junction with Mayors Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moss lane, Altrincham",north-east,14,TRUE,a point 22 metres southeast of its junction with Urban Drive,a point 26 metres northwest of its junction with Urban Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Moss lane, Altrincham",north-east,2,TRUE,a point 20 metres northwest of its junction with Urban Avenue,a point 9 metres northwest of its junction with Urban Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Murieston road, Hale",south-east,8,TRUE,From a point 22 metres north of its junction with Ashley Road,To a point 67 metres northeast of its junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",north,7,TRUE,from a point 34 metres from its junction with Manchester Road,to a point 73 metres from its junction with Manchester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",north,2,TRUE,from a point 82 metres from its junction with Manchester Road,to a point 9 metres west of its junction with Wharf Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",north,5,TRUE,from a point 8 metres east of its junction with Wharf Road,to a point 10 metres west of its junction with Brunswick Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",north,28,TRUE,from a point 8 metres east of its junction with Brunswick Road,to a point 195 metres west of its junction with The Woods
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",north,19,TRUE,from a point 160 metres west of its junction with The Woods,to a point 10 metres west of its junction with The Woods
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",south,2,TRUE,from a point 110 metres from its junction with Manchester Road,to a point 140 metres from its junction with Manchester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",south,6,TRUE,a point 57 metres from its westerly junction of Hawarden Road,a point 13 metres from its westerly junction of Hawarden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Navigation road, Altrincham",south,20,TRUE,a point 153 metres from its junction with Manchester Road,a point 61 metres from its junction with Hawarden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"New street, Altrincham",west,19,FALSE,a point 190 metres southwest of its junction with Regent Road,a point 28 metres northeast of its junction with Cedar Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"New street, Altrincham",south-east,3,FALSE,a point 40 metres southwest of its junction with Regent Road,a point 4 metres northeast of its junction with Chapel Court
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"New street, Altrincham",south-east,5,FALSE,a point 5 metres southwest of its junction with Chapel Court,a point 5 metres northeast of its junction with Albert Court
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"New street, Altrincham",south-east,8,FALSE,a point 5 metres southwest of its junction with Albert Court,a point 50 metres southwest of its junction with Albert Court
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"New street, Altrincham",west,2,FALSE,a point 5 metres southwest of its junction with Cedar Avenue,a point 15 metres southwest of its junction with Cedar Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"New street, Altrincham",east,3,FALSE,a point 22 metres north of its junction with The Downs,a point 6 metres north of its junction with The Downs
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Newton street, Stretford",south-west,4,TRUE,from a point 38 metres south-east of its junction with Chester Road,to a point 15 metres south-east of its junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Norman road, Altrincham",south-east,8,TRUE,a point 8 metres south of its junction with Woodfield Road,a point 2 metres north of its junction with Lock Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Normans place, Altrincham",north-west,10,FALSE,a point 40 metres southwest of its junction with Regent Road,a point 114 metres southwest of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Northenden road, Sale Moor",north,1,TRUE,from a point 18 metres east of its junction with Hampson Street,to a point 25 metres east of its junction with Hampson Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Northenden road, Sale Moor",north-east,1,TRUE,from a point 13 metres south-east of its junction with Temple Road,to a point 19 metres south-east of its junction with Temple Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Northenden road, Sale Moor",south-west,1,TRUE,from a point 26 metres south-east of its junction with the link road between Northenden Road and Marsland Road,to a point 32 metres south-east of its junction with the link road between Northenden Road and Marsland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Northenden road, Sale Moor",north-east,2,TRUE,from a point 18 metres north-west of its junction with James Street,to a point 4 metres north-west of its junction with James Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Northenden road, Sale Moor",north,6,TRUE,from a point 25 metres east of its junction with Hampson Street,to its junction with Old Hall Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Northenden road, Sale Moor",north-east,5,TRUE,from a point 19 metres south-east of its junction with Temple Road,to a point 43 metres south-east of its junction with Temple Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Northenden road, Sale Moor",south-west,5,TRUE,from a point 32 metres south-east of its junction with the link road between Northenden Road and Marsland Road,to a point 59 metres south-east of its junction with the link road between Northenden Road and Marsland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Northenden road, Sale Moor",north-east,5,TRUE,from a point 4 metres south-east of its junction with James Street,to a point 35 metres south-east of its junction with James Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Northenden road, Sale",south-west,8,FALSE,a point 21 metres southeast of its junction with Hope Road,a point 70 metres southeast of its junction with Hope Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Northenden road, Sale",north-east,12,FALSE,a point 99 metres northwest of its junction with Woodlands Road,a point 25 metres northwest of its junction with Woodlands Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Northway, Altrincham","west, north & east",5,TRUE,from a point 4 metres from its westerly junction with Gladstone Road around its cul-de-sac end,to a point on the east side 25 metres from its easterly junction with Gladstone Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Oakfield street (north-south arm), Altrincham",west,10,FALSE,a point 73 metres north of its junction with the west-east arm of Oakfield Street,a point 20 metres north of its junction with the west-east arm of Oakfield Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Oakfield street (west - east arm), Altrincham",south,8,FALSE,a point 15 metres east of its junction with Oakfield Road,a point 55 metres east of its junction with Oakfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Old hall road, Sale",north,3,TRUE,from its junction with Northenden Road,to a point 15 metres north-east of its junction with Northenden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Old market place, Altrincham",east,5,TRUE,a point 14 metres south of its junction with Victoria Street,a point 43 metres south of its junction with Victoria Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Sale",west,21,TRUE,from a point 42 metres north of its junction with Broad Road,to a point 5 metres south-east of its junction with Anfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Sale",west,7,TRUE,from a point 5 metres north-west of its junction with Anfield Road,to a point 38 metres south of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Sale",east,16,TRUE,from a point 12 metres south of its cul-de-sac end,to a point 5 metres north-west of its junction with Oldfield Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Altrincham",north,2,TRUE,a point 39 metres west of its junction with Rutland Road,a point 16 metres west of its junction with Rutland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Altrincham",north,5,TRUE,a point 10 metres east of its junction with Rutland Road,a point 37 metres east of its junction with Rutland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Altrincham",north,4,TRUE,a point 48 metres east of its junction with Rutland Road,a point 77 metres east of its junction with Rutland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Sale",east,9,TRUE,a point 5 metres southeast of its junction with Oldfield Grove,a point 60 metres southeast of its junction with Oldfield Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Oldfield road, Sale",east,10,TRUE,a point 66 metres southeast of its junction with Oldfield Grove,a point 37 metres north of its junction with Broad Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Oxford road, Altrincham",north-east,20,FALSE,a point 79 metres southeast of its junction with Ashley Road,a point 10 metres northwest of its junction with Rigby Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Oxford road, Altrincham",north-east,8,FALSE,a point 19 metres southeast of its junction with Ashley Road,a point 70 metres southeast of its junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Oxford road, Altrincham",north-east,4,FALSE,a point 6 metres southeast of its junction with Rigby Street,a point 25 metres southeast of its junction with Rigby Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Oxford road, Altrincham",north-east,12,FALSE,a point 31 metres southeast of its junction with Rigby Street,point 17 metres northwest of its junction with Hale Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Palmer street, Sale",both,20,TRUE,from a point 5 metres south-east of its junction with Albion Grove,to a point 5 metres north-west of its junction with Kelsall Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,NA,"Park avenue, Sale",south-west,18,NA,A point 3 metres northwest of its junction with York Avenue,A point 15 metres southeast of its junction with Southern Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,NA,"Park road, Sale",north-east,2,NA,A point 9 metres south of its junction with Merton Road,A point 32 metres south of its junction with Merton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,NA,"Park road, Sale",south-west,11,NA,A point 97 metres northwest of its junction with Whitefield Road,A point 10 metres southeast of its junction with Lansdowne Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Park road, Timperley",south-west,3,TRUE,A point 40 metres northwest of its junction with Hawthorn Avenue,to a point 15 metres northwest of its junction with Hawthorn Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Park road, Timperley",south-west,15,TRUE,from a point 6 metres east of its junction with Bollin Drive,to a point 96 metres east of its junction with Bollin Drive
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Peter street, Altrincham",north,5,FALSE,a point 4 metres east of itsa junction with Ashley Road,a point 3 metres west of its junction with Oxford Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Poplar grove, Sale",north,6,TRUE,from a point 116 metres east of its junction with Melrose Avenue,to a point 127 metres from its junction with Wardle Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Poplar grove, Sale",south,3,TRUE,from a point 60 metres from its junction with West Grove,to a point 30 metres from its junction with West Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Poplar grove, Sale",south,5,TRUE,from a point 54 metres from its junction with Wardle Road,to a point 10 metres from its junction with Wardle Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Poplar grove, Sale",north,3,TRUE,from a point 35 metres from its junction with Hope Road,to a point 15 metres west of its junction with Melrose Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Portland road, Stretford",south,8,TRUE,from a point 10 metres south of its junction with Burleigh Road,to a point 15 metres northwest of its junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Portland road, Stretford",north-east,3,TRUE,a point 35 metres northwest of its junction with Chester Road,a point 15 metres northwest of its junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Portland road, Bowdon",east,8,TRUE,a point 12 metres south of its junction with Cavendish Road,a point 94 metres south of its junction with Cavendish Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Post office street, Altrincham",north,3,TRUE,a point 53 metres southeast of its junction with Market Street,a point 75 metres southeast of its junction with Market Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Princes road, Altrincham",east,9,TRUE,a point 5 metres south of its junction with Woodfield Road,a point 3 metres north of its junction with Devonshire Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Princes road, Altrincham",east,12,TRUE,a point 4 metres south of its junction with Devonshire Road,a point 5 metres north of its junction with Newby Drive
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Queens road, Sale",south-east,12,TRUE,A point 37 metres north east of its junction with Kings Road,A point 10 metres south west of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Queens road, Sale",north-west,16,TRUE,A point 10 metres north east of its junction with Barker's Lane,A point 10 metres south of its junction with Ashton Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Railway road, Urmston",south,20,TRUE,a point 42 metres west of its junction with Station Road,a point 149 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Railway street, Altrincham",west,6,FALSE,a point 15 metres southwest of its junction with Regent Road,a point 52 metres southwest of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Railway street, Altrincham",west,2,FALSE,a point 62 metres southwest of its junction with Regent Road,a point 74 metres southwest of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Regent road, Altrincham",south-west,9,FALSE,a point 105 metres north of its junction with Normans Place,a point 15 metres north of its junction with Normans Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Richmond road, Altrincham",north-east,18,TRUE,a point 5 metres south of its junction with The Mount,a point 5 metres north of its junction with Townfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Richmond road, Altrincham",south-west,11,TRUE,a point 15 metres south of its junction with The Mount,a point 15 metres north of its junction with Townfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Rifle road, Sale",north-west,3,TRUE,a point 70 metres northeast of its junction with Old Hall Road,a point 88 metres northeast of its junction with Old Hall Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Rifle road, Sale",south-east,5,TRUE,a point 99 metres northeast of its junction with Old Hall Road,a point 133 metres northeast of its junction with Old Hall Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Rigby street, Altrincham",south,1,FALSE,a point 22 metres east of its junction with Oxford Road,a point 16 metres around the end of the turning head (a distance of 38 metres east of its junction with Oxford Road)
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Rigby street, Altrincham",east,5,FALSE,a point 48 metres east of its junction with Oxford Road,a point 78 metres east of its junction with Oxford Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Roebuck lane, Sale",south-west,16,TRUE,from a point 69 metres south-east of its junction with the easterly access road to Roebuck Gardens,to a point 154 metres south-east of its junction with the easterly access road to Roebuck Gardens
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Roebuck lane, Sale",north-east,13,TRUE,from a point 92 metres south-east of its junction with Washway Road,to a point 5 metres north-west of its junction with Albion Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Roebuck lane, Sale",north-east,11,TRUE,from a point 5 metres south-east of its junction with Albion Grove,to a point 5 metres north-west of its junction with Kelsall Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Royal avenue, Urmston",south,3,TRUE,a point 18 metres west of its junction with Station Road,a point 2 metres west of its junction with Station Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Royce avenue, Altrincham",west,6,TRUE,from its junction with Clarendon Avenue,to a point 52 metres northeast of its junction with Clarendon Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Royce avenue, Altrincham",east,6,TRUE,from a point 100 metres northeast of its junction with Linden Avenue,to a point 49 metres northeast of its junction with Linden Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Rutland road, Altrincham",west,4,TRUE,a point 38 metres north of its junction with Oldfield Road,a point 8 metres north of its junction with Oldfield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Rutland road, Altrincham",south,10,TRUE,a point 56 metres northeast of its junction with Oldfield Road,a point 35 metres west of its junction with Manchester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Sandiway place, Altrincham",east,6,FALSE,a point 10 metres south of its junction with Sandiway Road,a point 15 metres north of its junction with Church Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Sandiway road, Altrincham",north,23,FALSE,a point 15 metres east of its junction with Manchester Road,its junction with Barrington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Sandiway road, Altrincham",south,7,FALSE,a point 10 metres east of its junction with Burlington Road,a point 10 metres west of its junction with Barrington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Sandiway road, Altrincham",south,10,FALSE,a point 7 metres east of its junction with Sandiway Place,a point 10 metres west of its junction with Burlington Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Sandiway road, Altrincham",south,5,FALSE,a point 10 metres east of its junction with Manchester Road,a point 8 metres west of its junction with Sandiway Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"School lane, Dunham",east,9,TRUE,a point 82 metres southeast of its junction with Cow Lane,a point 311 metres north of its junction with Charcoal Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"School lane, Dunham",west,7,TRUE,a point 36 metres south of its junction with Back Lane,a point 76 metres south of its junction with Back Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"School lane, Dunham",west,5,TRUE,a point 100 metres south of its junction with Back Lane,a point 125 metres south of its junction with Back Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"School road, Sale",north,2,TRUE,from a point 26 metres east of its junction with Cross Street,to a point 40 metres east of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"School road, Stretford",north,3,TRUE,from a point 35 metres west of its junction with Victoria Road,to a point 20 metres west of its junction with Victoria Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"School road, Stretford",south,4,TRUE,from a point 13 metres east of its junction with Barton Road,to a point 33 metres east of its junction with Barton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Sefton crescent, Sale",even,20,TRUE,from a point 10 metres south-east of its northerly junction with Sefton Road,to a point 10 metres south-east of its southerly junction with Sefton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Sefton road, Sale",north-west,18,TRUE,from a point 10 metres south-west of its junction with Dargle Road,to a point 162 metres south-west of its junction with Dargle Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Sefton road, Sale",north-west,4,FALSE,a point 41 meters northeast of its junction with Chapel Road,a point 21 meters northeast of its junction with Chapel Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Sefton road, Sale",south-east,10,FALSE,a point 13 meters northeast of its junction with Chapel Road,a point 10 meters southwest of its junction with Linley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Seymour grove, Stretford",west,8,TRUE,a point 10 metres south of its junction with Lime Grove,a point 50 metres south of its junction with Lime Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Sir matt busby way, Stretford",west,3,TRUE,a point 40 metres south of its junction with Railway Road,a point 58 metres south of its junction with Railway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Sir matt busby way, Stretford",east,4,TRUE,a point 43 metres north of its junction with Chester Road,a point 23 metres north of its junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,NA,"Southern road, Sale",south-east,6,NA,A point 23 metres northeast of its junction with Park Road,A point 85 metres northeast of its junction with Park Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,NA,"Southern road, Sale",south-east,3,NA,A point 16 metres northeast of its junction with Atkinson Road,A point 15 metres southwest of its junction with Park Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,NA,"Southern road, Sale",south-east,16,NA,A point 34 metres northeast of its junction with Park Avenue,A point 5 metres northwest of its junction with Heywood Grove
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,NA,"Southern road, Sale",south-east,6,NA,A point 5 metres southeast of its junction with Heywood Grove,A point 4 metres northwest of its junction with Somerset Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"South grove, Sale",north-east,4,TRUE,from a point 7 metres east of its junction with West Grove,to a point 40 metres east of its junction with West Grove
